Class	Tweet
APP	Released a couple of updates to Escort this week (some Mandrill and PostageApp fixes). 3rd-party email for #eecms: http://devot-ee.com/add-ons/escort
APP	RT @chrislema: Newsletters in #WordPress - Use SendGrid or Mandrill http://goo.gl/ByWBF
APP	RT @freedomwalker77: Newsletters in WordPress - Use SendGrid or Mandrill http://goo.gl/ByWBF via @chrislema
APP	Sengrid ó Mandrill ??? suggestions?
APP	TAH-DAH! http://jsfiddle.net/mandrill/wLTns/5/ … It now does what I wanted it to at this stage, tomorrow autoplay. #jquery
APP	The Mandrill team dishes about building a status page to stand out among a sea of green check marks: http://eepurl.com/xTHgX
APP	The wisest mandrill in the jungle. Rafiki! ?? @ Disney's Animal Kingdom http://instagram.com/p/X-M_WcxtA7/
APP	This week: move TDP to either DigitalOcean or Linode, switch mail services to Mandrill and provisioning to sunzi.
APP	This week's release notes are up! More template options, quota changes and message prioritization: http://blog.mandrill.com/broader-templates-quota-control.html …
APP	To Whom It May Concern: @WebPlatform (http://j.mp/10TOHxc ) and @mandrillapp (http://j.mp/10TOHxg ) have the same logo. That is all.
APP	Transactional Email Services Review for Application Developers: Mandrill vs. SendGrid http://bit.ly/ZmRCsz
APP	Using Nullmailer and Mandrill for Your Ubuntu Server Outboud Mail http://dzone.com/DWQF #linux
APP	ValidationError from mandrill with google app engine's urlfetch http://pyq.io/so/16260022 #python
APP	very impressed by the http://mandrill.com/ site - spotless product, marketing & pricing
APP	We're unifying MailChimp and Mandrill data. Beware of hummingbirds with tiny cheetah heads. http://bit.ly/1035KIO
APP	We've simplified and reduced pricing for everyone. Hooray! http://blog.mandrill.com/new-simpler-pricing.html …
APP	We’re Unifying Your Mandrill and MailChimp Data | MailChimp Email Marketing Blog http://bit.ly/Z0iBZM
APP	Whaaat, I didn't know @MailChimp had an email delivery api service thingy: @mandrillapp. Neat: http://www.mandrill.com/?utm_source=devcircle&utm_medium=banner&utm_campaign=carbon …
APP	would like to send emails for welcome, password resets, payment notifications, etc. what should i use? was looking at mailgun/mandrill
APP	Zapier Makes Mandrill Integration Easy | Mandrill Email Platform Blog http://buff.ly/XW8EzX #lightweight #integration
